,retweet_count,reply_count,like_count,quote_count,name
0,138.0,144.0,2110.0,29.0,tatemcrae
1,59.0,0.0,0.0,0.0,tatemcrae
2,160.0,339.0,2486.0,17.0,tatemcrae
3,38.0,0.0,0.0,0.0,tatemcrae
4,64.0,0.0,0.0,0.0,tatemcrae
5,36.0,0.0,0.0,0.0,tatemcrae
6,116.0,97.0,1547.0,3.0,tatemcrae
7,83.0,0.0,0.0,0.0,tatemcrae
8,74.0,45.0,1041.0,16.0,tatemcrae
9,82.0,0.0,0.0,0.0,tatemcrae
10,150.0,0.0,0.0,0.0,tatemcrae
11,142.0,56.0,1992.0,13.0,tatemcrae
12,65.0,127.0,844.0,5.0,tatemcrae
13,2.0,23.0,75.0,0.0,tatemcrae
14,3.0,37.0,94.0,4.0,tatemcrae
15,7.0,3.0,80.0,4.0,tatemcrae
16,2.0,1.0,55.0,1.0,tatemcrae
17,2.0,3.0,75.0,1.0,tatemcrae
18,1.0,15.0,78.0,3.0,tatemcrae
19,57.0,161.0,1217.0,19.0,tatemcrae
20,42.0,146.0,587.0,1.0,tatemcrae
21,2.0,17.0,69.0,1.0,tatemcrae
22,2.0,8.0,66.0,3.0,tatemcrae
23,2.0,32.0,121.0,6.0,tatemcrae
24,0.0,10.0,61.0,0.0,tatemcrae
25,5.0,8.0,92.0,1.0,tatemcrae
26,4.0,5.0,101.0,3.0,tatemcrae
27,40.0,68.0,765.0,16.0,tatemcrae
28,44.0,98.0,594.0,0.0,tatemcrae
29,11.0,31.0,171.0,13.0,tatemcrae
30,103.0,46.0,1251.0,4.0,tatemcrae
31,0.0,3.0,20.0,2.0,tatemcrae
32,91.0,92.0,1622.0,14.0,tatemcrae
33,81.0,0.0,0.0,0.0,tatemcrae
34,34.0,0.0,0.0,0.0,tatemcrae
35,106.0,64.0,1175.0,17.0,tatemcrae
36,96.0,0.0,0.0,0.0,tatemcrae
37,154.0,170.0,3091.0,14.0,tatemcrae
38,48.0,0.0,0.0,0.0,tatemcrae
39,90.0,39.0,1035.0,3.0,tatemcrae
40,181.0,101.0,2784.0,10.0,tatemcrae
41,363.0,200.0,5285.0,37.0,tatemcrae
42,145.0,78.0,1664.0,9.0,tatemcrae
43,372.0,207.0,5109.0,30.0,tatemcrae
44,737.0,437.0,8618.0,135.0,tatemcrae
45,186.0,0.0,0.0,0.0,tatemcrae
46,188.0,0.0,0.0,0.0,tatemcrae
47,96.0,0.0,0.0,0.0,tatemcrae
48,29.0,29.0,1073.0,9.0,tatemcrae
49,362.0,340.0,3786.0,27.0,tatemcrae
